Price,Adj Close,Close,High,Low,Open,Volume
Ticker,2303.TW,2303.TW,2303.TW,2303.TW,2303.TW,2303.TW
Date,,,,,,
2010-01-04,8.034219741821289,17.0,17.200000762939453,16.799999237060547,17.200000762939453,30047000
2010-01-05,8.128738403320312,17.200000762939453,17.350000381469727,17.049999237060547,17.200000762939453,64811000
2010-01-06,8.695860862731934,18.399999618530273,18.399999618530273,17.149999618530273,17.200000762939453,140587000
2010-01-07,8.695860862731934,18.399999618530273,19.100000381469727,18.399999618530273,18.600000381469727,137376000
2010-01-08,8.601340293884277,18.200000762939453,18.450000762939453,17.850000381469727,18.399999618530273,55124000
2010-01-11,8.790380477905273,18.600000381469727,19.0,18.100000381469727,18.299999237060547,107861000
2010-01-12,8.672229766845703,18.350000381469727,18.850000381469727,18.149999618530273,18.600000381469727,53705000
2010-01-13,8.435930252075195,17.850000381469727,18.0,17.799999237060547,18.0,55935000
2010-01-14,8.483189582824707,17.950000762939453,18.049999237060547,17.850000381469727,17.850000381469727,27502000
2010-01-15,8.506819725036621,18.0,18.149999618530273,17.850000381469727,18.0,30826000
2010-01-18,8.435930252075195,17.850000381469727,18.100000381469727,17.549999237060547,17.799999237060547,47352000
2010-01-19,8.294149398803711,17.549999237060547,18.100000381469727,17.549999237060547,17.899999618530273,45429000
2010-01-20,8.554079055786133,18.100000381469727,18.100000381469727,17.649999618530273,17.799999237060547,65249000
2010-01-21,8.506819725036621,18.0,18.200000762939453,17.950000762939453,18.100000381469727,54695000
2010-01-22,8.365039825439453,17.700000762939453,17.899999618530273,17.5,17.799999237060547,51236000
2010-01-25,8.223258018493652,17.399999618530273,17.600000381469727,17.25,17.299999237060547,44211000
2010-01-26,7.797918796539307,16.5,17.549999237060547,16.399999618530273,17.5,78406000
2010-01-27,7.7506585121154785,16.399999618530273,16.600000381469727,16.350000381469727,16.600000381469727,48210000
2010-01-28,7.797918796539307,16.5,16.850000381469727,16.399999618530273,16.399999618530273,72428000
2010-01-29,7.585247993469238,16.049999237060547,16.200000762939453,15.5,16.200000762939453,107284000
2010-02-01,7.325316905975342,15.5,15.949999809265137,15.5,15.899999618530273,57493000
2010-02-02,7.3725762367248535,15.600000381469727,15.899999618530273,15.449999809265137,15.899999618530273,48237000
2010-02-03,7.8688063621521,16.649999618530273,16.649999618530273,16.100000381469727,16.299999237060547,93317000
2010-02-04,7.797918796539307,16.5,17.149999618530273,16.5,16.799999237060547,129750000
2010-02-05,7.419837951660156,15.699999809265137,15.899999618530273,15.5,15.699999809265137,152460000
2010-02-08,7.561615943908691,16.0,16.149999618530273,15.899999618530273,16.100000381469727,44950000
2010-02-09,7.67976713180542,16.25,16.350000381469727,16.0,16.0,57855000
2010-02-10,7.67976713180542,16.25,16.5,16.200000762939453,16.350000381469727,80828000
2010-02-22,7.845177173614502,16.600000381469727,16.700000762939453,16.25,16.600000381469727,61113000
2010-02-23,7.703396797180176,16.299999237060547,16.299999237060547,16.0,16.0,67885000
2010-02-24,7.537985801696777,15.949999809265137,16.149999618530273,15.800000190734863,16.149999618530273,75795000
2010-02-25,7.325316905975342,15.5,15.949999809265137,15.350000381469727,15.949999809265137,122052000
2010-02-26,7.301685333251953,15.449999809265137,15.5,15.199999809265137,15.399999618530273,69438000
2010-03-01,7.561615943908691,16.0,16.049999237060547,15.449999809265137,15.550000190734863,66218000
2010-03-02,7.443466663360596,15.75,16.100000381469727,15.699999809265137,16.049999237060547,55086000
2010-03-03,7.514355659484863,15.899999618530273,15.899999618530273,15.699999809265137,15.850000381469727,39637000
2010-03-04,7.467096328735352,15.800000190734863,16.0,15.649999618530273,16.0,39114000
2010-03-05,7.608877182006836,16.100000381469727,16.149999618530273,15.899999618530273,16.0,60811000
2010-03-08,7.656137943267822,16.200000762939453,16.299999237060547,16.049999237060547,16.25,49140000
2010-03-09,7.727029323577881,16.350000381469727,16.350000381469727,16.0,16.25,53450000
2010-03-10,7.845177173614502,16.600000381469727,16.600000381469727,16.399999618530273,16.5,60107000
2010-03-11,7.89243745803833,16.700000762939453,16.850000381469727,16.549999237060547,16.700000762939453,45855000
2010-03-12,7.9160685539245605,16.75,16.75,16.5,16.700000762939453,26471000
2010-03-15,7.703396797180176,16.299999237060547,16.700000762939453,16.25,16.600000381469727,40518000
2010-03-16,7.797918796539307,16.5,16.5,16.149999618530273,16.200000762939453,33025000
2010-03-17,7.939696788787842,16.799999237060547,16.799999237060547,16.5,16.700000762939453,57174000
2010-03-18,7.9160685539245605,16.75,16.899999618530273,16.600000381469727,16.799999237060547,46403000
2010-03-19,8.010587692260742,16.950000762939453,17.100000381469727,16.799999237060547,16.799999237060547,46844000
2010-03-22,7.9160685539245605,16.75,16.75,16.549999237060547,16.75,38589000
2010-03-23,7.821547031402588,16.549999237060547,16.899999618530273,16.549999237060547,16.899999618530273,28338000
2010-03-24,7.9160685539245605,16.75,16.899999618530273,16.75,16.850000381469727,31445000
2010-03-25,7.89243745803833,16.700000762939453,16.850000381469727,16.5,16.75,24657000
2010-03-26,8.034219741821289,17.0,17.0,16.5,16.600000381469727,34905000
2010-03-29,7.9160685539245605,16.75,17.049999237060547,16.75,17.0,45394000
2010-03-30,7.939696788787842,16.799999237060547,16.850000381469727,16.75,16.850000381469727,23162000
2010-03-31,7.963326930999756,16.850000381469727,17.149999618530273,16.799999237060547,16.899999618530273,48792000
2010-04-01,7.9869561195373535,16.899999618530273,17.100000381469727,16.799999237060547,16.850000381469727,53644000
2010-04-02,7.9160685539245605,16.75,17.0,16.700000762939453,16.899999618530273,23168000
2010-04-06,8.05784797668457,17.049999237060547,17.149999618530273,16.850000381469727,16.850000381469727,44375000
2010-04-07,8.128738403320312,17.200000762939453,17.200000762939453,17.049999237060547,17.100000381469727,28942000
2010-04-08,8.05784797668457,17.049999237060547,17.25,17.049999237060547,17.200000762939453,34009000
2010-04-09,8.010587692260742,16.950000762939453,17.200000762939453,16.899999618530273,17.200000762939453,23792000
2010-04-12,8.010587692260742,16.950000762939453,17.0,16.799999237060547,17.0,16844000
2010-04-13,7.845177173614502,16.600000381469727,16.899999618530273,16.5,16.899999618530273,38188000
2010-04-14,7.8688063621521,16.649999618530273,16.75,16.350000381469727,16.700000762939453,29241000
2010-04-15,7.845177173614502,16.600000381469727,16.950000762939453,16.5,16.899999618530273,57127000
2010-04-16,7.89243745803833,16.700000762939453,16.700000762939453,16.5,16.600000381469727,27250000
